,User_ID,user_name,restaurant_name,comment,rating
0,1001,Alysa B.,Opium,boyfriend came one afternoon expecting basic cocktails received amazing personalized drinking experience Laine ones sitting bar may able receive attention got easily best service experience Ive bar started Red Moon sooooo delicious refreshing vodka watermelon boyfriend gin martini first round asked Laine recommendations recommended something us based palette shades grey cocktail delicious also much fun watch made Laine told us much owner restaurant also owns places street known best KL experience sooo amazing cant wait find back KL come back,4
1,1002,Cyrus A.,Opium,restaurant absolutely fantastic excellent choice looking fancy meal relatively affordable price friend split noodle dish two entrees well fancy cocktail around total place little noisy definitely touristyfratty part town seated outstanding service really enjoyed experience server helpful made great suggestions various options menu started crispy noodles fried prawns delicious noodles come great broth prawns lightly battered crispy perfection mains split beef dish ate soft buns spicy without overpowering flavors unreal buns ran eating straight bowl also got duck dish rice duck tender juicy sweet flavor lots delicious veggies included dish would definitely recommend place dinner destination even short stay Kuala Lumpur,4
2,1003,Louise A.,Opium,Celebrated birthday two persons cuz started sing Yeah whatever think place really good environment hipster little retro girl sitting playing kind piano beautifly mood great ate dumplings black pepper prawns delicious man took noodles really good drinks twist served special cups fun great place birthday dinner drinks friends dejt think kids left home kind place,1
3,1004,Bob V.,Opium,reviews anticipating wow got excellent service along mediocre food started Fighting Cock Wings whabenero Soggy mild flovor right microwave Rather disappointing early dinner Wednesday evening pm Lets see main course better Yes lemon orange chicken better would return much better options worth price,4
4,1005,Neil M.,Opium,Loved everything Opium Service food music great Food unique special decent portions Highly recommend price rarely give stars place hard beat,2
5,1006,Cindy C.,Opium,nice restaurant bar meals tasty cocktail super special enjoyed much live music girl play Chinese pipa price expensiveabout per person go back get chance,5
6,1007,Bartholomew B.,Opium,first time KL asked hotel concierge best local restaurant spot place amazing unique food superb drinks artistic delicious Ive received date spirits drinks cool Earth Water different days also draft beer serve bowl odd first kind made feel like cat staff sweet quick would definitely recommend giving place try unsure go,2
7,1008,Lucie B.,Opium,Went eat DIM SUM lunch awesome RM many plates dim sum noodles dishes great quality taste also love decor truly feels like stepped time warp play great lounge music furnishings gorgeous Definitely still stars book,4
8,1009,LeEllen L.,Opium,Amazing food wonderful service really enjoyed pleasant atmosphere music lighting delightful delicious evening,5
9,1010,John W.,Opium,ok Food good great Cocktails worst certainly cocktail bar standards People friendly though Good service return since clearly way better options around forced go would upset,2
10,1011,Björn K.,Opium,Seriously delicious food friendly staff helping goes even eat Watch deep fried chillies theyre mortal dumplings super yummy quinoa even yummy desert sago sweeeeet,3
11,1012,Jim D.,Opium,twice lunch set tasty good value money regular menu Expensive get,2
12,1013,Catherine S.,Opium,friend great meal authentic Asian meal Ive tasted Im expert main noodle dishes dim sum flavorable service top notch,5
13,1014,Wen H.,Opium,Something caught eyes Changkat due vintage Chinese ambience corner Changkat road went dinner Opium bar cum restaurant Chinese theme decoration worth visit restaurant also famous cocktails ordered TiLung Bramble Red Lantern Margarita cocktails served wooden tray accompanied different type nuts main course ordered Crispy Duck Noodles crispy yee mee noodles served rich brown sauce topped smoked duck slices Another main dish ordered eye catching Opium Black Fried rice delicious flavorful black fried rice comes squid ink Overall food delicious however pricing tad bit expensive side Worth try,5
